"Shoe","Coup","Player card 1","Player card 2","Player card 3","Banker card 1","Banker card 2","Banker card 3","Player total","Banker total","Winner","Pair outcome"
1,1,"8","2",NA,"6","2",NA,"0","8","Banker","No pair"
1,2,"4","6","3","8","2","K","3","0","Player","No pair"
1,3,"9","4",NA,"J","9",NA,"3","9","Banker","No pair"
1,4,"A","10","4","7","3","4","5","4","Player","No pair"
1,5,"5","K","7","A","2","6","2","9","Banker","No pair"
1,6,"8","Q",NA,"3","2",NA,"8","5","Player","No pair"
1,7,"2","4",NA,"6","5","2","6","3","Player","No pair"
1,8,"9","3","Q","8","7",NA,"2","5","Banker","No pair"
1,9,"10","4","J","2","A","9","4","2","Player","No pair"
1,10,"Q","J","A","5","8","10","1","3","Banker","No pair"
1,11,"6","K",NA,"K","5","A","6","6","Tie","No pair"
1,12,"J","2","6","Q","J","10","8","0","Player","No pair"
1,13,"Q","Q",NA,"9","J",NA,"0","9","Banker","Player pair"
1,14,"6","2",NA,"6","10",NA,"8","6","Player","No pair"
1,15,"Q","3","5","A","4","7","8","2","Player","No pair"
1,16,"K","8",NA,"A","7",NA,"8","8","Tie","No pair"
1,17,"4","4",NA,"5","A",NA,"8","6","Player","Player pair"
1,18,"8","3","9","Q","A","10","0","1","Banker","No pair"
1,19,"5","9","8","5","9",NA,"2","4","Banker","No pair"
1,20,"5","7",NA,"Q","8",NA,"2","8","Banker","No pair"
1,21,"9","3",NA,"K","9",NA,"2","9","Banker","No pair"
1,22,"6","3",NA,"9","10",NA,"9","9","Tie","No pair"
1,23,"Q","A","6","Q","3","10","7","3","Player","No pair"
1,24,"J","7",NA,"Q","10","10","7","0","Player","No pair"
1,25,"8","3","2","2","A","10","3","3","Tie","No pair"
1,26,"J","A","K","8","7",NA,"1","5","Banker","No pair"
1,27,"J","A","5","4","9","10","6","3","Player","No pair"
1,28,"6","Q",NA,"7","A",NA,"6","8","Banker","No pair"
1,29,"6","8","A","3","K","K","5","3","Player","No pair"
1,30,"3","A",NA,"8","Q",NA,"4","8","Banker","No pair"
1,31,"8","3","K","5","Q",NA,"1","5","Banker","No pair"
1,32,"K","J","K","10","3","A","0","4","Banker","No pair"
1,33,"A","5",NA,"4","5",NA,"6","9","Banker","No pair"
1,34,"6","9","J","5","K",NA,"5","5","Tie","No pair"
1,35,"9","2","3","5","9","4","4","8","Banker","No pair"
1,36,"4","2",NA,"7","9",NA,"6","6","Tie","No pair"
1,37,"9","7",NA,"K","5","A","6","6","Tie","No pair"
1,38,"5","8","10","2","3",NA,"3","5","Banker","No pair"
1,39,"2","5",NA,"K","7",NA,"7","7","Tie","No pair"
1,40,"10","9",NA,"K","2",NA,"9","2","Player","No pair"
1,41,"J","8",NA,"6","7",NA,"8","3","Player","No pair"
1,42,"5","6",NA,"4","5",NA,"1","9","Banker","No pair"
1,43,"A","3","6","J","4","Q","0","4","Banker","No pair"
1,44,"3","4",NA,"8","8",NA,"7","6","Player","Banker pair"
1,45,"2","Q","3","A","5",NA,"5","6","Banker","No pair"
1,46,"K","5","2","7","4","10","7","1","Player","No pair"
1,47,"K","6",NA,"10","9",NA,"6","9","Banker","No pair"
1,48,"10","6",NA,"8","4","7","6","9","Banker","No pair"
1,49,"J","4",NA,"J","9",NA,"4","9","Banker","No pair"
1,50,"3","10","A","3","J","Q","4","3","Player","No pair"
1,51,"7","8","2","9","3","6","7","8","Banker","No pair"
1,52,"9","9",NA,"K","10",NA,"8","0","Player","Player pair"
1,53,"9","10",NA,"2","J",NA,"9","2","Player","No pair"
1,54,"4","6","7","5","K","6","7","1","Player","No pair"
1,55,"K","Q","5","Q","2","2","5","4","Player","No pair"
1,56,"10","6",NA,"J","3","A","6","4","Player","No pair"
1,57,"9","10",NA,"J","8",NA,"9","8","Player","No pair"
1,58,"A","J","7","Q","7",NA,"8","7","Player","No pair"
1,59,"10","8",NA,"9","K",NA,"8","9","Banker","No pair"
1,60,"6","6","8","10","A","3","0","4","Banker","Player pair"
1,61,"K","Q","4","4","6","5","4","5","Banker","No pair"
1,62,"8","9",NA,"4","2",NA,"7","6","Player","No pair"
1,63,"7","K",NA,"J","J","3","7","3","Player","Banker pair"
1,64,"6","2",NA,"8","9",NA,"8","7","Player","No pair"
1,65,"4","6","8","K","7",NA,"8","7","Player","No pair"
1,66,"6","4","9","7","4","2","9","3","Player","No pair"
1,67,"J","2","4","4","K","J","6","4","Player","No pair"
1,68,"A","K","Q","A","3",NA,"1","4","Banker","No pair"
